Class,Definition,Code,is subject of (requirement),Applicable Activity,Summary of Deficiency Tony Noticed,Requirement Applicability Reviewed,Related to Asset Class (Related to Asset Class (Parent Class Name)),Related to Asset Class (Parent Class Name)
drench hose,A supplemental device consisting of a flexible hose connected to a flushing fluid supply and used to provide fluid to irrigate and flush face and body areas.,,,,,No,https://www.notion.so/emergency-eyewash-or-shower-900b1d59ec3249ebbe6e3633349a1d24,
compressor,,C,https://www.notion.so/CSA-B149-6-20-Section-13-5-1-a263508afda54417a89ef92ea9aaca17,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,https://www.notion.so/Defined-fuel-compressor-aa3ee547111a42569e0e3dffb1e761dd
Defined: fuel compressor,compressor AND “process medium”: {fuel},,https://www.notion.so/Ontario-Regulation-212-01-Section-15-be20f451dbc64a83b3ec256b0e18c9f1,,,Yes,https://www.notion.so/compressor-e99402a5b7fb42259fd9ee919bbad33d,
boiler,,BO,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,"https://www.notion.so/Defined-low-pressure-boiler-5eeee1ea46e34890ac3dcf134c0ef010, https://www.notion.so/Defined-power-boiler-e5c173ed817241ca90e86c9d617f329c, https://www.notion.so/Defined-boiler-with-quick-opening-door-and-deaerator-9553d511957f43d7a3a812dcf2009e60"
Defined: low pressure boiler,"steam service operating pressure above 103 kPa (15 psig) OR
hot water service operating pressure above 1100 kPa (160 psig) or above the temperature 121C (2500F)",,https://www.notion.so/Ontario-Regulation-220-01-Code-Adoption-Document-Section-5-2-Table-1-C-42d055c484db4ff78ade3749c612e922,,,Yes,https://www.notion.so/boiler-3d186d6bc9cb4c70987f7e85f2ff1871,"https://www.notion.so/Defined-heating-steam-service-boiler-3bf2c1f79bf143f78164120f9a46f80b, https://www.notion.so/Defined-heating-hot-water-service-boiler-4a423241f2fb4511ae2889feb6e314b1"
Defined: power boiler,i. steam service operating pressure above 103 kPa (15 psig) ii. hot water service operating pressure above 1100 kPa (160 psig) or above the temperature 121 C (2500F,,https://www.notion.so/Ontario-Regulation-220-01-Code-Adoption-Document-Section-1-37-a-fb844d600cb64bd8896751e36a6621f2,,1 & 5 yr activity required; only 1-year specified,Yes,https://www.notion.so/boiler-3d186d6bc9cb4c70987f7e85f2ff1871,
Defined: boiler with quick opening door and deaerator,a boiler that is equipped with a de-aerator and a quick opening door,,https://www.notion.so/Ontario-Regulation-220-01-Code-Adoption-Document-Section-5-2-Table-1-E-d84e3923fd1545839b0c9a39fb42eb3b,,missing activity linkage,Yes,https://www.notion.so/boiler-3d186d6bc9cb4c70987f7e85f2ff1871,
Defined heating hot water service boiler,up to and including a maximum pressure of 1100 kPa (160 psig) at a maximum temperature of 121C (2500F),,https://www.notion.so/Ontario-Regulation-220-01-Code-Adoption-Document-Section-1-37-b-i-d05fac2d8cae4091b856dc67a21df96c,,,Yes,https://www.notion.so/Defined-low-pressure-boiler-5eeee1ea46e34890ac3dcf134c0ef010,
Defined: heating steam service boiler,steam service operating up to and including a maximum pressure of 103 kPa (15 psig),,https://www.notion.so/Ontario-Regulation-220-01-Code-Adoption-Document-Section-1-37-b-ii-0e533d6ee0fe4d059d14371a810ec431,,,Yes,https://www.notion.so/Defined-low-pressure-boiler-5eeee1ea46e34890ac3dcf134c0ef010,
Defined: pressure vessel,"reg 220: any enclosed unfired vessel that contains gas, vapour or liquid under pressure;",,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,https://www.notion.so/Defined-TSSA-regulated-pressure-vessel-78b0cef71ccf46ca8d74fa04ea01406e
