Requirement Name,Found in Document,Doc ID,Requirement Section,Requirement Text,Supported by (Activity),Act ID,Grounded By (Requirement),Is Grounding (Requirement),Req ID (is grounding),Applies to (Asset Class),Class ID,Reg Fully Grounded,Req ID,TO REMOVE: Document Name,Class Attributes Note,TO REMOVE 🕝Frequency,TO REMOVE Performed By (Trade),TO REMOVE - URL,Work Comments,Name Text,📕 Source Document
ANSI Z358.1-2014 on Annual Personal Wash Maintenance,https://www.notion.so/ANSI-Z358-1-2014-1f27904d34b844c69c94621fa19b2462,1f27904d34b844c69c94621fa19b2462,8.1.3.2,All personal wash units shall be inspected and maintained in accordance with manufacturer's instructions and shall meet applicable regulatory requirements.,https://www.notion.so/Annual-personal-wash-maintenance-7d785cfeef19400c8467e2fba21ead44,7d785cfeef19400c8467e2fba21ead44,,,,https://www.notion.so/personal-wash-55454bfae9fd487ea8e5d962cb58b2b6,55454bfae9fd487ea8e5d962cb58b2b6,,efb1f6fa36034dc7b91170f6fb1fafec,ANSI Z358.1-2014,,1 year,,,,"ANSI Z358.1-2014, Section: 8.1.3.2",
ANSI Z358.1-2014 on weekly inspection of self-contained emergency wash equipment,https://www.notion.so/ANSI-Z358-1-2014-1f27904d34b844c69c94621fa19b2462,1f27904d34b844c69c94621fa19b2462,"4.6.3, 5.5.3, 6.5.3, 7.5.3, 8.1.3.2, 8.2.4.3","4.6.3 Self-contained emergency showers shall be visually checked weekly to determine if flushing fluid needs to be changed or supplemented. Such inspection shall be conducted in accordance with manufacturer's instructions.
5.5.3 Self-contained eyewashes shall be visually checked weekly to determine if flushing fluid needs to be changed or supplemented. Such inspection shall be conducted in accordance with manufacturer's instructions.
6.5.3 Self-contained eye/face washes shall be visually checked weekly to determine if flushing fluid needs to be changed or supplemented. Such shall be conducted in accordance with manufacturer's instructions.
7.5.3 Self-contained combination units shall be visually checked weekly to determine if flushing fluid needs to be changed or supplemented. Such inspection shall be conducted in accordance with manufacturer's instructions.
8.1.3.2 All personal wash units shall be inspected and maintained in accordance with manufacturer's instructions and shall meet applicable regulatory requirements.
8.2.4.3 Self-contained drench hoses shall be visually checked weekly to determine if flushing fluid needs to be changed or supplemented. Such inspection shall be conducted in accordance with manufacturer's instructions.",https://www.notion.so/Weekly-self-contained-emergency-eyewash-or-shower-inspection-4d98a647c54743349467fc4d7eedb223,4d98a647c54743349467fc4d7eedb223,,,,https://www.notion.so/self-contained-emergency-eyewash-or-shower-equipment-COMPLETE-DEF-Class-emergency-eyewash-or-sho-723948b08a1340bba89ae5bad289382c,723948b08a1340bba89ae5bad289382c,,77451d7bcf5f408381776a02d9f7102b,ANSI Z358.1-2014,,1 week,,https://webstore.ansi.org/Search/Find?in=1&st=z358.1,,"ANSI Z358.1-2014, Section: 4.6.3, 5.5.3, 6.5.3, 7.5.3, 8.1.3.2, 8.2.4.3",
ANSI Z358.1-2014 on Plumbed Emergency Wash Annual Test,https://www.notion.so/ANSI-Z358-1-2014-1f27904d34b844c69c94621fa19b2462,1f27904d34b844c69c94621fa19b2462,"4.6.5, 4.5.7, 5.5.5, 5.4.7, 6.5.5, 6.4.7, 7.5.5, 7,4,6","4.6.5 All emergency showers shall be inspected annually to assure conformance with Section 4.5 requirements of this standard.
4.5.7 When the plumbed emergency shower is installed, its performance shall be verified in accordance with the following procedures:
(1) With the unit correctly connected to the flushing fluid source and the valve(s) closed, visually check the piping connections for leaks.
(2) Open the valve to the full open position. The valve shall remain open without requiring further use of the operator's hands.
(3) With the valve in the fully opened position, measure the diameter of the spray pattern. It shall be a minimum of 50.8 cm (20 in.) at 152.4 cm (60 in.) above the standing surface. The flushing fluid shall be substantially dispersed throughout the pattern.
(4) Using the flowmeter or other means, determine that the rate of flow is at least 75.7 liters per minute (20 gpm).
(5) Using a temperature gauge or other means, determine that the flushing fluid is tepid.
5.5.5 All eyewashes shall be inspected annually to assure conformance with Section 5.4 requirements of this standard.
5.4.7 When the plumbed eyewash is installed, its performance shall be verified in accordance with the following procedures:
(1) With the unit correctly connected to the flushing fluid source and the valve(s) closed, visually check the piping connections for leaks.
(2) Open the valve to the full open position. The valve shall remain open without requiring further use of the operator's hands.
(3) With the valve in the fully open position, make sure that both eyes will be washed simultaneously at a velocity low enough to be non-injurious to the user.
(4) Using the flowmeter or other means, determine that the rate of flow is at least 1.5 liters per minute (0.4 gpm). A test gauge similar to the one pictured in Illustration 7 can be used to verify minimum flow characteristics.
(5) Using a temperature gauge or other means, determine that the flushing fluid is tepid.
6.5.5 All eye/face washes shall be inspected annually to assure conformance with Section 6.4 requirements of this standard.
6.4.7 When the plumbed eye/face wash is installed, its performance shall be verified in accordance with the following procedures:
(1) With the unit correctly connected to the flushing fluid source and the valve(s) closed, visually check the piping connections for leaks.
(2) Open the valve to the full open position. The valve shall remain open without requiring further use of the operator's hands.
(3) With the valve in the fully opened position make sure that both eyes and face will be washed simultaneously at a velocity low enough to be non-injurious to the user.
(4) Using the flowmeter or other means, determine that the rate of flow is at least 11.4 liters per minute (3.0 gpm). A test gauge similar to the one pictured in Illustration 7 can be used to verify minimum flow characteristics.
(5) Using a temperature gauge or other means, determine that the flushing fluid is tepid.
7.5.5 All combination units shall be inspected annually to assure conformance with Section 7.4 requirements of this standard.
7.4.6 When the combination unit is installed, its performance shall be verified in accordance with the following procedures:
(1) With the unit correctly connected to the flushing fluid source and the valve(s) closed, visually check the piping connections for leaks.
(2) Open the emergency shower and eyewash or eye/face wash valves to the full open position. The valves shall remain open without requiring further use of the operator's hands.
(3) Activate the valves and check the performance of the emergency shower, eyewash and eye/face wash valves as described in Sections 4.5.7, 5.4.7 and 6.4.7 respectively, while operating simultaneously.
(4) Using a temperature gauge or other means, determine that the flushing fluid is tepid.
NOTE: Where hand-held drench hoses are part of the combination unit, the flow and pressure shall be specified by the manufacturer.",https://www.notion.so/Annual-plumbed-emergency-eyewash-or-shower-test-fecf211200054d6c834be1ce7e28fc2f,fecf211200054d6c834be1ce7e28fc2f,,,,https://www.notion.so/plumbed-emergency-eyewash-or-shower-equipment-COMPLETE-DEF-Class-emergency-eyewash-or-shower-eq-cfe435427a4b464797d2b0567d6c0886,cfe435427a4b464797d2b0567d6c0886,,3acee35a8e9849c8aaa13fc4ef55bd18,ANSI Z358.1-2014,,1 year,,,,"ANSI Z358.1-2014, Section: 4.6.5, 4.5.7, 5.5.5, 5.4.7, 6.5.5, 6.4.7, 7.5.5, 7,4,6",
ANSI Z358.1-2014 on weekly inspection of plumbed emergency wash equipment,https://www.notion.so/ANSI-Z358-1-2014-1f27904d34b844c69c94621fa19b2462,1f27904d34b844c69c94621fa19b2462,"4.6.2, 5.5.2, 6.5.2, 7.5.2, 8.2.4.2, B7","4.6.2 Plumbed emergency showers shall be activated weekly for a period long enough to verify operation and ensure that flushing fluid is available. (See Appendix B7)
5.5.2 Plumbed eyewashes shall be activated weekly for a period long enough to verify operation and ensure that flushing fluid is available. (See Appendix B7)
6.5.2 Plumbed eye/face washes shall be activated weekly for a period long enough to verify operation and ensure that flushing fluid is available. (See Appendix B7)
7.5.2 Plumbed combination units shall be activated weekly for a period long enough to verify operation and ensure that flushing fluid is available. (See Appendix B7)
8.2.4.2 Plumbed drench hoses shall be activated weekly for a period long enough to verify operation and ensure that flushing fluid is available.
B7. Weekly Activation for Plumbed Emergency Eyewash and Shower Equipment. The intent of the weekly activation to be conducted on plumbed emergency eyewash and shower equipment is to ensure that there is a flushing fluid supply at the head of the device and to clear the supply line of any sediment build-up that could prevent fluid from being delivered to the head of the device and minimize microbial contamination due to stagnant water. The duration of this test is dependent on the volume of water contained in the unit itself and all sections of pipework that do not form part of a constant circulation system (also known as “dead leg” portions). Water in these sections is stagnant until a flow is activated by opening a valve. The goal is to flush out stagnant water in the dead leg completely. Where",https://www.notion.so/weekly-plumbed-emergency-eyewash-or-shower-inspection-2aca09adeff84ed48b379c1420cddf7d,2aca09adeff84ed48b379c1420cddf7d,,,,https://www.notion.so/plumbed-emergency-eyewash-or-shower-equipment-COMPLETE-DEF-Class-emergency-eyewash-or-shower-eq-cfe435427a4b464797d2b0567d6c0886,cfe435427a4b464797d2b0567d6c0886,,62c03bbbbbd048e6aef8f4ee101b8a00,ANSI Z358.1-2014,,,,,,"ANSI Z358.1-2014, Section: 4.6.2, 5.5.2, 6.5.2, 7.5.2, 8.2.4.2, B7",
TSSA-BPV requirement on quick-opening door and de-aerators,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,5.2 Table 1,Inspect pressure vessels fitted with a quick-opening door and de-aerators annually,,,,,,https://www.notion.so/Defined-boiler-with-quick-opening-door-and-deaerator-9553d511957f43d7a3a812dcf2009e60,9553d511957f43d7a3a812dcf2009e60,No,d84e3923fd1545839b0c9a39fb42eb3b,,,Annually,Contractor,https://www.tssa.org/en/boilers-pressure-vessels/resources/Documents/Legs--Regs/BPV-CAD-AMENDMENTS_JUNE-28_FINAL.PDF,,", Section: 5.2 Table 1",
TSSA-BPV requirement on low pressure boilers,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,5.2 Table 1,"Inspect low pressure boilers (internally and externally) every 2 years
",https://www.notion.so/TSSA-Regulated-Pressure-Vessel-Low-Pressure-Boiler-75f072be3e1a4c82b483ee2f091b2f60,75f072be3e1a4c82b483ee2f091b2f60,,,,https://www.notion.so/Defined-low-pressure-boiler-5eeee1ea46e34890ac3dcf134c0ef010,5eeee1ea46e34890ac3dcf134c0ef010,No,42d055c484db4ff78ade3749c612e922,,,2 Years,Contractor,https://www.tssa.org/en/boilers-pressure-vessels/resources/Documents/Legs--Regs/BPV-CAD-AMENDMENTS_JUNE-28_FINAL.PDF,,", Section: 5.2 Table 1",
TSSA-BPV requirement on quick-opening door and de-aerators,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,5.2 Table 1,Inspect cushion tanks and hydropneumatic tanks every 3 years,,,,,,,,No,dc2e7db00d5b4bdb8b274a1e8c0a78a0,,,3 Years,Contractor,https://www.tssa.org/en/boilers-pressure-vessels/resources/Documents/Legs--Regs/BPV-CAD-AMENDMENTS_JUNE-28_FINAL.PDF,,", Section: 5.2 Table 1",
TSSA-BPV requirement on pressure vessels,https://www.notion.so/BPV-20-01-R1-f9b7c79ba0ed444a96b87dbb52107a27,f9b7c79ba0ed444a96b87dbb52107a27,5.2 Table 1,Inspect pressure vessels every 3 years,,,,,,https://www.notion.so/Defined-TSSA-regulated-pressure-vessel-78b0cef71ccf46ca8d74fa04ea01406e,78b0cef71ccf46ca8d74fa04ea01406e,No,fcedbc58c4c84395ae4fbc4579a0da73,,,3 Years,Contractor,https://www.tssa.org/en/boilers-pressure-vessels/resources/Documents/Legs--Regs/BPV-CAD-AMENDMENTS_JUNE-28_FINAL.PDF,,", Section: 5.2 Table 1",
Government of Canada Drugs and Medical Devices Monthly Inspection,https://www.notion.so/Government-of-Canada-Drugs-and-Medical-Devices-ba689278f32447c1a610b1387390db1d,ba689278f32447c1a610b1387390db1d,Toronto Document,"AED Cabinet Monthly Inspection
- Verify responder kit and AED are in good working order by using attached checklist
- Record checklist items at: https://toronto.trackmyaed.ca/
- After record is entered, close work order
- Report all missing and/or damaged equipment to 416-392-3491

Inspect the following below:
A. AED unit:
1) Cabinet alarm sounds when door opened/activated
2) AED readiness indicator displayed
→ ZOLL AED Plus – Green check mark
→ PHILIPS - Flashing green light with no audible chirp
→ MEDTRONIC -”OK” with no service/maintenance icon present
3) Electrodes within expiration date and installed in AED
4) Spare electrodes (within expiration date) in AED carrying case
5) AED responder kit attached to AED
B. Responder kit includes:
1) Pocket face mask or shield (1)
2) Disposable gloves (2 pairs)
3) Rake razor (1)
4) Small garbage bag (1)
5) Scissors (1)
6) Towel (1)
7) Hand Cleaner (1)
8) Security seal for responder kit (optional)",https://www.notion.so/Automated-External-Defibrillator-AED-f67a5f5c18bf463c9d10e1ae7ca7fd91,f67a5f5c18bf463c9d10e1ae7ca7fd91,,,,https://www.notion.so/automated-external-defibrillator-AED-d698d38ee9364f2da9cabf772bb4adef,d698d38ee9364f2da9cabf772bb4adef,,cc58c3b7f87141e1bfba92acdd49c687,,,Monthly,Staff,https://toronto.trackmyaed.ca/,"Requirement text not found + No requirement text source
#SourceUnknown. Checklist not found. Needs registration for more information. 
- Aug 31 AJ: Requirement text was referred from Toronto Paramedic Services. The checklist is from the same site. As per Susan, the checklist has been uploaded into WMS. ",", Section: Toronto Document",
"Toronto Municipal Code 851, Section: 851-8 D (11) (c)",https://www.notion.so/TORONTO-MUNICIPAL-CODE-CHAPTER-851-WATER-SUPPLY-965814862153491d974d6815d00a3d55,965814862153491d974d6815d00a3d55,851-8 D (11) (c),"851-8 11 (c) Owners shall cause the inspections and testing of a backflow prevention device 
to be performed: [Amended 2017-04-28 by By-law 461-2017]
[1] Upon the installation of the backflow prevention device;
[2] Immediately, and no later than 72 hours after the backflow prevention device is cleaned, repaired, replaced, serviced or overhauled;
[3] When the backflow prevention device is relocated;
[4] Annually; 
[5] As required by this chapter and standards and specifications, including 
CSA - B64 Series Standards and AWWA standards for test procedures; and
[6] As may be required by the General Manager.
",https://www.notion.so/Backflow-Preventer-50d4df3f4f8c44cc9ee1882e4f033a14,50d4df3f4f8c44cc9ee1882e4f033a14,,,,https://www.notion.so/backflow-preventer-820677d0c7e44520a83d328e2e371d97,820677d0c7e44520a83d328e2e371d97,No,7ada0492d8e44c5592e51af7c3305efb,Toronto Municipal Code 851,,As per the activity,Contractor,https://www.toronto.ca/legdocs/municode/1184_851.pdf,,"Toronto Municipal Code 851, Section: 851-8 D (11) (c)",
